id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41974,Englewood Cottage,183514,Ruth,,Ward 1,44.94404281031542,-123.00995966369125,Entire home/apt,80,1,151,2018-10-28,1.49,1,4
199568,Garden studio apt,974919,Sara,,Ward 1,44.95195862280974,-123.05627408891182,Entire home/apt,75,2,151,2018-12-31,1.67,2,0
226880,quiet room with a view,974919,Sara,,Ward 1,44.95203985883649,-123.05679145731905,Private room,35,1,78,2018-10-14,0.94,2,35
900778,Spacious Flat in Historic Home,4811368,Corrine,,Ward 1,44.94419768738417,-123.01116043912087,Entire home/apt,105,2,192,2019-01-31,2.64,1,220
1159564,SOLAR ECLIPSE - A,2185672,Roberta,,Ward 3,44.88415552756293,-123.04340915586322,Private room,175,2,2,2013-08-30,0.03,1,365
2894591,Quiet and cozy home in South Salem.,14613038,Sue,,Ward 7,44.90753897044507,-123.07688195270015,Private room,50,1,184,2018-12-29,3.25,1,273
4785215,Century House Doug Fir Room,10502090,Jean,,Ward 2,44.93447583406532,-123.02103307255888,Private room,85,1,69,2018-09-23,1.39,3,334
6853136,CAPITOL CITY RETREAT,7975048,Darlene,,Ward 4,44.85606042209379,-123.02038922085028,Private room,67,1,100,2018-11-23,2.27,2,365
6975705,CAPITOL CITY RETREAT 2,7975048,Darlene,,Ward 4,44.85588998132861,-123.02029741688833,Private room,54,1,43,2018-12-30,0.99,2,365
7293821,Chauffeurs Room @ the Villa,38202007,Julie,,Ward 7,44.924836777138914,-123.04989900825075,Entire home/apt,95,1,228,2019-01-20,5.27,1,85
8255984,Downtown Salem Loft in Salem Oregon,43537767,Angela,,Ward 1,44.941321030724104,-123.04070855799358,Entire home/apt,220,2,49,2018-11-30,1.19,1,193
8524259,Single room in Comfort Home,2421461,Nancy,,Ward 7,44.891046972199874,-123.06843076896668,Private room,75,1,2,2018-06-13,0.11,2,352
8698684,Charming Craftsman...Close to Downtown!,3208932,Christy And Arnaud,,Ward 2,44.933053756581366,-123.01985465835436,Entire home/apt,106,2,61,2019-01-02,1.61,3,107
8817036,Private Room In Quiet West Salem Neighborhood,22853165,Rayana & Matt,,Ward 8,44.95313016741394,-123.06377999339732,Private room,38,1,180,2019-01-19,4.49,2,114
9075412,WittsPad,24077619,Cheryl,,Ward 1,44.94049244688918,-123.06107105298268,Private room,100,1,0,,,2,346
9238563,Spacious Suite with Private Sauna and AC,48017737,Steve & Robin,,Ward 1,44.95434454467945,-123.05678571082197,Entire home/apt,75,2,271,2019-01-27,6.97,1,157
9477671,"Stylish, Private, Urban Guest House",14797761,Leigh,,Ward 1,44.956679221756886,-123.0263493333364,Entire home/apt,80,1,217,2019-02-01,7.13,1,69
9597053,Spacious home near downtown Salem,18810608,Karen,,Ward 1,44.95171352053082,-123.04055697173322,Entire home/apt,79,2,141,2018-12-02,3.74,1,138
9956213,Immaculate home with Central AC in SE Salem,38945057,Ernest & Tal,,Ward 4,44.87589762790271,-123.06040483289375,Entire home/apt,115,2,72,2019-01-31,1.92,1,135
10074172,A. Relax in a Quiet Peaceful Historic House,51689419,Nick,,Ward 1,44.94518073759238,-123.01395182498463,Private room,39,1,119,2019-01-04,3.22,2,175
10745268,Quiet and Beautiful Retreat & private bath,707227,Katje (Pronounced Koteeya),,Ward 4,44.85789055610076,-123.02119481808097,Private room,40,1,63,2018-12-25,1.74,1,351
10745972,Urban homestead in town (with a REAL breakfast)!,23041542,Barbara,,Ward 8,44.945454818755906,-123.07865630976521,Private room,58,1,150,2019-01-26,4.24,1,41
11362008,Cozy room in Central Salem,3208932,Christy And Arnaud,,Ward 2,44.93134812969965,-123.02125454204987,Private room,30,1,222,2019-02-03,6.48,3,101
12053483,Charming Cottage in Downtown Salem,36056888,Mark & Jennifer,,Ward 1,44.94696603504571,-123.02656757782252,Entire home/apt,95,5,49,2019-01-08,1.60,1,220
12157896,The RoseCliff Bungalow,62027098,Debra And Brad,,Ward 8,44.95581303654928,-123.05820430869971,Entire home/apt,120,2,63,2018-12-30,1.92,1,322
12232289,West Hills Modern Luxury- Private Room & Breakfast,65785099,Angela,,Ward 8,44.95214307414873,-123.0865313308409,Private room,50,1,17,2018-06-24,0.80,1,65
12588161,Home away from home,68279432,Sharon,,Ward 2,44.91014853327655,-123.0345546491706,Private room,38,2,32,2018-10-14,0.95,1,284
12631652,"Comfortable, Peaceful 1940's House",60242907,Heather,,Ward 1,44.9509837950743,-123.01490812645699,Private room,46,1,80,2018-08-24,2.49,1,309
12892550,Peaceful Room In Salem Historic Neighborhood,51689419,Nick,,Ward 1,44.94461949132844,-123.01144018476747,Private room,45,1,100,2019-01-13,3.01,2,129
12934165,Midcentury Suite with Living Room,71029874,Anne,,Ward 7,44.90873029844497,-123.06791345157389,Entire home/apt,85,1,30,2019-01-26,0.93,2,234
13620753,Private Suite 5 mins to Downtown/40 mins to Coast,78890374,Bob & Delia,,Ward 8,44.961468846534444,-123.06952229876151,Private room,49,1,194,2019-01-27,6.10,1,212
13960938,"Cozy House in quiet South Salem, private bathroom",19196434,Maria,,Ward 7,44.902116501246525,-123.05863149708973,Private room,45,2,69,2019-01-24,2.32,1,70
14017093,Two rooms in historic neighborhood near University,74488167,Casey,,Ward 2,44.91961158693929,-123.03912767927339,Private room,40,1,180,2019-01-22,5.79,1,241
14077210,Light filled Art Loft on Fairmount Hill,2666789,Mary Lou,,Ward 7,44.92497131930772,-123.0487901975083,Entire home/apt,105,1,207,2019-01-19,6.76,1,41
14556351,Ben Lomond House,83848627,Matthew,,Ward 2,44.91557258399512,-123.03931252199474,Entire home/apt,265,2,53,2019-01-31,1.76,1,288
14606059,The Salem Treehouse,87528756,Lisa,,Ward 7,44.90377313452177,-123.06800375934861,Private room,85,2,16,2017-03-12,0.54,1,65
14773378,Private Room five kilometers from Downtown Room 1,60660763,David,,Ward 2,44.91061610201828,-123.02784213572431,Private room,31,1,99,2019-01-16,3.35,2,359
14871137,Room with a view,89542153,Ryan,,Ward 8,44.95181302542939,-123.07399970532312,Private room,49,1,5,2017-08-21,0.17,1,179
14967922,5-star 4-Bedroom home near WIllamette University,89181819,Kristen,,Ward 7,44.9206616321111,-123.04677548477731,Entire home/apt,300,4,3,2018-12-17,0.48,1,193
15272064,"Vista Manor, queen, ensuite private bath, upstairs",49073704,Elizabeth,,Ward 2,44.91011319862301,-123.04173096294363,Private room,48,1,273,2019-01-27,9.64,3,339
15530703,1926 Craftsman: Oregon Hospitality w/ Private Bath,90232641,Wendy,,Ward 7,44.93064816041636,-123.0459939641898,Private room,79,2,51,2018-09-25,2.35,1,21
15815105,"Vista Manor,King bed,ensuite bathroom upstairs.",49073704,Elizabeth,,Ward 2,44.911772645002856,-123.0417101215677,Private room,65,1,154,2019-02-03,5.72,3,307
16032390,Nice quiet community. Guest parking,69965730,Alexandr,,Ward 4,44.870465288674055,-123.0259044364365,Private room,45,2,14,2017-09-19,0.56,1,179
16690039,Inspiring room in Central Salem,3208932,Christy And Arnaud,,Ward 2,44.931674100968564,-123.02010507607721,Private room,42,1,135,2019-01-27,5.38,3,79
16769751,Guest bedroom/bathroom,111333376,Stu,,Ward 5,44.963501488656,-123.00077288072812,Private room,50,1,43,2018-09-30,1.76,1,0
17111184,Century House Cedar Room,10502090,Jean,,Ward 2,44.93392498863437,-123.01959772887366,Private room,98,1,15,2018-11-28,0.65,3,355
17224365,The Art Room,33621906,Abdullah,,Ward 1,44.95220641424714,-123.01162079134295,Private room,75,2,9,2018-08-02,0.38,1,124
17238244,(Phone number hidden by Airbnb) s Cottage - Walk in the Park (Phone number hidden by Airbnb) LI,22605257,Linda,,Ward 7,44.92740223699552,-123.046699954788,Entire home/apt,130,1,108,2019-02-02,4.76,1,265
17424096,Cozy Bedroom in a townhouse,35861426,Erenly,,Ward 4,44.8676246000568,-123.03146142569467,Private room,45,1,8,2018-05-15,0.37,1,310
17433830,Motivation Room 4 In Quite Neighborhood,972844,Julia,,Ward 1,44.9444895903034,-123.01320125061173,Private room,39,1,37,2019-01-20,1.66,1,120
17711622,Comfortable and Peaceful,23877716,Amy,,Ward 4,44.88019672788362,-123.03817071558615,Private room,30,1,49,2018-11-08,2.13,4,355
17719975,Writer's corner room,1619113,Jill,,Ward 2,44.9283049987896,-123.01516496373436,Private room,30,1,97,2018-09-11,4.28,1,0
17736273,Bluff house,120967569,Carol,,Ward 3,44.907935653801545,-123.03198009427295,Private room,50,2,5,2018-09-04,0.26,1,363
17926258,"Salem OR, Family friendly, Central location!",70997537,Stephanie,,Ward 2,44.911191580761596,-123.03627201608725,Entire home/apt,180,2,3,2018-10-18,0.48,1,358
18255314,Oregon State Capital CAMPING - Space 1,62162184,Shelly,,Ward 3,44.91784352375809,-122.95749570938413,Private room,40,2,2,2017-08-23,0.11,1,364
18654723,Paxson House - Toscono Room,49211542,Tim And Connie,,Ward 3,44.90615636338674,-123.02936441720053,Private room,55,2,3,2018-08-25,0.17,2,96
18756208,Perfect Eclipse stay.,37502456,Becky,,Ward 4,44.87467636656329,-123.02762743395567,Entire home/apt,1500,2,1,2017-06-17,0.05,1,89
18957672,Cozy Room in Downtown Salem,18601259,Christopher And Jackie,,Ward 1,44.94947750876645,-123.03124186080049,Private room,35,1,18,2018-11-16,1.01,1,0
18979869,"West Salem: Relax, Refresh and Room to sprawl",16355487,Sandy & Ben,,Ward 8,44.97169711110128,-123.07464973374397,Private room,50,2,1,2017-08-21,0.06,1,88
19144944,Country Garden Retreat,133856626,Diane,,Ward 3,44.888977109308556,-122.95201216606841,Entire home/apt,77,1,88,2019-01-20,4.73,1,169
19182947,Beautiful South Salem Home,72582641,Sarah,,Ward 7,44.91316807378177,-123.051432858929,Entire home/apt,300,2,9,2018-08-23,0.51,1,0
19247929,Spacious Cottage in South Salem,134773170,Isaac And Donia,,Ward 7,44.887994703601464,-123.0731696375902,Entire home/apt,60,2,35,2019-01-10,1.75,1,150
19388806,Cindy's Nook,42050514,Cindy,,Ward 7,44.91735777253136,-123.0468600171983,Private room,69,1,115,2019-01-27,5.96,1,338
19394840,"Large private, scenic waterfront suite.",61926106,Nate & Renee,,Ward 2,44.933075499926005,-123.01138795882767,Private room,42,1,95,2019-01-24,4.88,1,80
19409655,Historic Bungalow-Queen’s Room,46108277,Jaya,,Ward 2,44.93323423869576,-123.01981558721491,Private room,40,1,88,2018-11-04,4.53,2,251
19411912,LAST MIN OPENING Nice Home HUGE PRICE DROP to $199,10675141,Patrick,,Ward 1,44.948853975082194,-123.06035340979497,Private room,199,1,0,,,2,365
19415582,House  by the Capital and Willamette University.,136123864,Jim,,Ward 1,44.94520902975868,-123.01909488891454,Entire home/apt,95,2,28,2018-09-30,1.57,1,211
19468058,Vintage Themed Interior w/AC & Netflix,29091120,Victoria,,Ward 4,44.87956078272377,-123.03285137970919,Entire home/apt,115,2,20,2018-11-24,1.12,1,183
19475795,"Big home with pool, outdoor area",136654813,Jake,,Ward 8,44.95782201922509,-123.0663896311777,Entire home/apt,1500,3,0,,,1,88
19504726,Spacious South Salem Home,94713910,Erica,,Ward 3,44.904378865778625,-123.03693223570966,Entire home/apt,100,2,13,2018-09-29,0.69,1,31
19532562,Historic Cottage close to downtown for Eclipse,134427390,Nathan,,Ward 1,44.93841556221675,-123.02308708408012,Entire home/apt,850,2,1,2017-08-21,0.06,1,365
19552499,Paxson House - Giardino Room,49211542,Tim And Connie,,Ward 3,44.905033164576665,-123.029451022987,Private room,69,2,7,2018-08-13,0.40,2,63
19612383,Quiet comfort in Salem,83523432,Ryan,,Ward 7,44.90213577010222,-123.109578589453,Private room,50,1,3,2017-07-30,0.16,1,0
19636742,Fresh and Modern Family Friendly Home,29825765,Hilary,,Ward 7,44.90687750698223,-123.06507009025336,Entire home/apt,450,2,0,,,1,88
19641964,Welcome Home,138218669,Wayne,,Ward 3,44.89605081744276,-123.04016268363598,Entire home/apt,500,2,0,,,1,365
19643837,Farmstead Campsite for the Eclipse!,6017353,Stacey,,Ward 2,44.94324838236642,-122.99620022770436,Private room,200,2,1,2017-08-21,0.06,1,89
19703543,In Eclipse Zone: Private Master Bedroom w/ Bath,138834613,William,,Ward 4,44.86637103417114,-123.013994509577,Private room,505,2,0,,,1,178
19733204,"Cute, Comfortable and Convenient",34689449,Rob & Cindy,,Ward 5,44.99118374683461,-122.96015704476645,Private room,45,1,121,2019-01-23,6.81,1,253
19735048,"Cozy, Private Room in South Salem",139143534,Ashley,,Ward 7,44.90218377205008,-123.0527791654257,Private room,33,2,21,2018-12-01,1.12,1,44
19771178,Private Suite near Minto-Brown Island Park.,2931274,Silvia,,Ward 7,44.91453743018865,-123.06091385333552,Entire home/apt,350,1,42,2019-01-26,2.29,1,74
19789195,Eastlake Place,139732464,Carla,,Ward 4,44.878515572361124,-123.00624631798188,Entire home/apt,3000,1,0,,,1,89
19829943,Hotel Amenities w/o the Price - Family Friendly,86888120,Brett,,Ward 4,44.87548928570281,-123.0116454016523,Private room,50,2,67,2019-01-24,4.07,1,124
19840044,Sunnyslope Retreat  - Private Entry and Fireplace,17012934,Chuck & Lorie,,Ward 7,44.89666745294729,-123.06327354430984,Entire home/apt,95,2,50,2019-01-26,2.74,1,134
19849491,WittsPad - Attic,24077619,Cheryl,,Ward 1,44.94009627598041,-123.06024603948127,Private room,222,1,1,2017-08-21,0.06,2,346
19906919,Jefferson Garden Cottage,140972895,Angela,,Ward 1,44.95351330299525,-123.01565132070809,Entire home/apt,145,2,38,2019-01-21,2.13,2,269
19928942,Awesome new home in beautiful West Salem -,89212656,Joyce,,Ward 8,44.981843457710404,-123.0754282653498,Private room,32,1,2,2018-08-26,0.29,1,361
19933437,Solar Eclipse Room,141236935,Rachel,,Ward 4,44.866314489188376,-123.01319760332188,Private room,250,2,0,,,1,364
19953996,"Family Home, Comfy Beds, Full Breakfast ~ ECLIPSE!",10675141,Patrick,,Ward 1,44.94768467358027,-123.06201670760068,Private room,333,2,0,,,2,365
19971211,Comfortable Craftsman,135951789,Rayanna,,Ward 4,44.87185048813303,-123.04272895748784,Entire home/apt,399,3,0,,,1,310
19971738,"Beautiful Home in Edgewater District of Salem, OR",82974436,Dwayne,,Ward 1,44.94183233474278,-123.0602952058039,Entire home/apt,395,2,0,,,1,179
19983672,Classic Town Home on 50 acres of wetlands,141740262,Megan,,Ward 4,44.85978086559344,-123.02152916719774,Private room,750,2,1,2017-08-22,0.06,1,155
19993475,great house for eclipse,141849138,David,,Ward 1,44.94705478283355,-123.02322556922525,Entire home/apt,500,2,0,,,1,365
20011950,Private Room in Comfort Home,2421461,Nancy,,Ward 7,44.892182248837955,-123.0701510486694,Private room,800,1,1,2017-08-23,0.06,2,219
20014682,**Private bedroom available SOLAR ECLIPSE,93510253,Lindsey,,Ward 2,44.919937811010364,-123.03859238920208,Private room,301,2,0,,,2,179
20014811,"Holiday in the woods - King bed, private bath",142095898,Kevin,,Ward 7,44.901557465927,-123.0721414679289,Private room,60,2,4,2018-08-13,0.22,4,65
20015604,Private bedroom available for **ECLIPSE**,93510253,Lindsey,,Ward 2,44.921470670947336,-123.03995935002244,Private room,249,2,1,2017-08-22,0.06,2,89
20028234,Wildlife Getaway!,26706686,Jill,,Ward 7,44.909469573983856,-123.07299803366834,Entire home/apt,299,3,6,2018-08-25,0.34,1,7
20035307,"Sweet private bed, bath, and more",90246105,Susan,,Ward 1,44.95102156350503,-123.01328785969099,Entire home/apt,45,2,64,2019-01-10,3.54,1,235
20072558,Myrtle Cottage Guest House,142659171,Judy And Ray,,Ward 8,44.939372059168335,-123.08178495228229,Entire home/apt,65,3,23,2019-02-03,1.30,1,244
20095804,Private Guest Area in Comfortable South Salem Home,18253159,Laurelin,,Ward 3,44.884747363437384,-123.04555764715639,Private room,60,1,4,2017-12-30,0.23,1,77
20116557,Sean's Solstice Haven,60564951,Heather,,Ward 8,44.954291430381616,-123.06266068988324,Entire home/apt,699,2,1,2017-08-21,0.06,1,364
20134793,Vintage house with big front porch,80527228,Paris,,Ward 1,44.95497008436306,-123.02769479722166,Entire home/apt,54,2,1,2017-08-21,0.06,1,31
20139918,Eclipse Place,97429837,(Email hidden by Airbnb),,Ward 8,44.95871598934408,-123.09042585146435,Entire home/apt,1650,3,0,,,1,365
20150751,Quiet private room and bath in stylish MCM home,51443453,Steven,,Ward 3,44.90321747868752,-123.03073317940179,Private room,400,1,80,2019-01-23,4.49,1,71
20157308,West Salem Hills,86214276,Byron,,Ward 8,44.94500346218138,-123.0930931026883,Private room,60,1,16,2018-10-14,0.90,1,179
